holiday_date,holiday_name
1987-01-01,New Year's Day
1987-05-25,Memorial Day
1987-07-04,Independence Day
1987-09-07,Labor Day
1987-11-26,Thanksgiving Day
1987-12-25,Christmas Day
1988-01-01,New Year's Day
1988-05-30,Memorial Day
1988-07-04,Independence Day
1988-09-05,Labor Day
1988-11-24,Thanksgiving Day
1988-12-25,Christmas Day
1989-01-01,New Year's Day
1989-05-29,Memorial Day
1989-07-04,Independence Day
1989-09-04,Labor Day
1989-11-23,Thanksgiving Day
1989-12-25,Christmas Day
1990-01-01,New Year's Day
1990-05-28,Memorial Day
1990-07-04,Independence Day
1990-09-03,Labor Day
1990-11-22,Thanksgiving Day
1990-12-25,Christmas Day
1991-01-01,New Year's Day
1991-05-27,Memorial Day
1991-07-04,Independence Day
1991-09-02,Labor Day
1991-11-28,Thanksgiving Day
1991-12-25,Christmas Day
1992-01-01,New Year's Day
1992-05-25,Memorial Day
1992-07-04,Independence Day
1992-09-07,Labor Day
1992-11-26,Thanksgiving Day
1992-12-25,Christmas Day
1993-01-01,New Year's Day
1993-05-31,Memorial Day
1993-07-04,Independence Day
1993-09-06,Labor Day
1993-11-25,Thanksgiving Day
1993-12-25,Christmas Day
1994-01-01,New Year's Day
1994-05-30,Memorial Day
1994-07-04,Independence Day
1994-09-05,Labor Day
1994-11-24,Thanksgiving Day
1994-12-25,Christmas Day
1995-01-01,New Year's Day
1995-05-29,Memorial Day
1995-07-04,Independence Day
1995-09-04,Labor Day
1995-11-23,Thanksgiving Day
1995-12-25,Christmas Day
1996-01-01,New Year's Day
1996-05-27,Memorial Day
1996-07-04,Independence Day
1996-09-02,Labor Day
1996-11-28,Thanksgiving Day
1996-12-25,Christmas Day
1997-01-01,New Year's Day
1997-05-26,Memorial Day
1997-07-04,Independence Day
1997-09-01,Labor Day
1997-11-27,Thanksgiving Day
1997-12-25,Christmas Day
1998-01-01,New Year's Day
1998-05-25,Memorial Day
1998-07-04,Independence Day
1998-09-07,Labor Day
1998-11-26,Thanksgiving Day
1998-12-25,Christmas Day
1999-01-01,New Year's Day
1999-05-31,Memorial Day
1999-07-04,Independence Day
1999-09-06,Labor Day
1999-11-25,Thanksgiving Day
1999-12-25,Christmas Day
2000-01-01,New Year's Day
2000-05-29,Memorial Day
2000-07-04,Independence Day
2000-09-04,Labor Day
2000-11-23,Thanksgiving Day
2000-12-25,Christmas Day
2001-01-01,New Year's Day
2001-05-28,Memorial Day
2001-07-04,Independence Day
2001-09-03,Labor Day
2001-11-22,Thanksgiving Day
2001-12-25,Christmas Day
2002-01-01,New Year's Day
2002-05-27,Memorial Day
2002-07-04,Independence Day
2002-09-02,Labor Day
2002-11-28,Thanksgiving Day
2002-12-25,Christmas Day
2003-01-01,New Year's Day
2003-05-26,Memorial Day
2003-07-04,Independence Day
2003-09-01,Labor Day
2003-11-27,Thanksgiving Day
2003-12-25,Christmas Day
2004-01-01,New Year's Day
2004-05-31,Memorial Day
2004-07-04,Independence Day
2004-09-06,Labor Day
2004-11-25,Thanksgiving Day
2004-12-25,Christmas Day
2005-01-01,New Year's Day
2005-05-30,Memorial Day
2005-07-04,Independence Day
2005-09-05,Labor Day
2005-11-24,Thanksgiving Day
2005-12-25,Christmas Day
2006-01-01,New Year's Day
2006-05-29,Memorial Day
2006-07-04,Independence Day
2006-09-04,Labor Day
2006-11-23,Thanksgiving Day
2006-12-25,Christmas Day
2007-01-01,New Year's Day
2007-05-28,Memorial Day
2007-07-04,Independence Day
2007-09-03,Labor Day
2007-11-22,Thanksgiving Day
2007-12-25,Christmas Day
2008-01-01,New Year's Day
2008-05-26,Memorial Day
2008-07-04,Independence Day
2008-09-01,Labor Day
2008-11-27,Thanksgiving Day
2008-12-25,Christmas Day
